Condition,Age Group,Dietary Preferences,Remedy Name,Ingredients,Recipe,Dosage,Cautions,Contraindications
Bloating,Adults,Non-Vegetarian,Lemon Ginger Water,"Lemon, ginger, warm water",Mix lemon juice and grated ginger in warm water,"1 cup, twice daily",Citrus sensitivity,GERD
Bloating,Adults,Vegetarian,Peppermint Tea,"Peppermint leaves, water","Steep peppermint leaves in hot water, strain","1 cup, 2 times daily",May cause acid reflux,"GERD, Asthma"
Bloating,Adults,Non-Vegetarian,Chamomile Tea,"Chamomile flowers, hot water","Steep chamomile flowers in hot water, strain","1 cup, once daily",May cause drowsiness,Chamomile Allergy
Bloating,Adults,Vegetarian,Carom Seed Water,"Carom seeds, water","Boil carom seeds in water, strain",1 cup after meals,May cause mild stomach irritation,Ulcers
Bloating,Adults,Vegetarian,Warm Lemon Water,"Lemon, warm water",Mix lemon juice in warm water,"1 cup, twice daily",Citrus sensitivity,"GERD, Citrus Allergy"
Bloating,Adults,Non-Vegetarian,Cumin Water,"Cumin seeds, water","Boil cumin seeds in water, strain",1 cup after meals,May cause mild stomach irritation,Low Blood Pressure
Bloating,Adults,Vegetarian,Fennel Seed Tea,"Fennel seeds, hot water","Steep fennel seeds in hot water, strain","1 cup, after meals",May cause skin sensitivity,Allergies
Bloating,Adults,Vegetarian,Aloe Vera Juice,"Fresh aloe vera gel, water","Blend aloe vera gel with water, strain","1/2 cup, once daily",May have a laxative effect,Pregnancy
Bloating,Adults,Vegetarian,Hibiscus Tea,"Dried hibiscus petals, water","Steep hibiscus petals in hot water, strain","1 cup, once daily",May lower blood pressure,Low Blood Pressure
Bloating,Seniors,Vegetarian,Warm Lemon Water,"Lemon, warm water",Mix lemon juice in warm water,"1/2 cup, 2 times daily",Citrus sensitivity,"GERD, Citrus Allergy"
Bloating,Seniors,Non-Vegetarian,Ginger Honey Drink,"Ginger root, honey, water","Boil ginger in water, mix with honey","1 cup, 2 times daily",May cause mild heartburn,GERD
Bloating,Seniors,Vegetarian,Fennel Tea,"Fennel seeds, hot water","Steep fennel seeds in hot water, strain",1 cup after meals,May cause skin sensitivity,Allergies
Bloating,Seniors,Non-Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1 cup, once daily",May cause drowsiness,Chamomile Allergy
Bloating,Seniors,Vegetarian,Carom Seed Water,"Carom seeds, water","Boil carom seeds in water, strain",1 cup after meals,May cause mild stomach irritation,Ulcers
Bloating,Seniors,Vegetarian,Cumin Seed Water,"Cumin seeds, warm water","Boil cumin seeds in warm water, strain","1/2 cup, 2 times daily",May cause mild acidity,Low Blood Pressure
Bloating,Seniors,Vegetarian,Ginger Lemon Drink,"Ginger root, lemon, water","Boil ginger in water, add lemon juice, strain","1/2 cup, twice daily",May cause mild heartburn,GERD
Bloating,Seniors,Vegetarian,Cardamom Water,"Cardamom pods, water","Boil cardamom pods in water, strain","1/2 cup, after meals",May cause mild acidity,GERD
Bloating,Seniors,Vegetarian,Peppermint Tea,"Peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, 2 times daily",May cause mild throat dryness,GERD
Bloating,Seniors,Non-Vegetarian,Dill Seed Tea,"Dill seeds, water","Boil dill seeds in water, strain","1 cup, once daily",May cause mild stomach discomfort,None
Chickenpox,Children,Vegetarian,Neem Bath,"Neem leaves, water","Boil neem leaves in water, cool, use for bathing",Bathe once daily,May cause skin dryness,Allergies
Chickenpox,Children,Non-Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, twice daily",Citrus sensitivity,Diabetes
Chickenpox,Children,Vegetarian,Oatmeal Bath,"Oats, water","Grind oats, mix with warm water, apply to skin",Bathe once daily,May cause skin irritation,Oat Allergy
Chickenpox,Children,Non-Vegetarian,Turmeric Milk,"Turmeric powder, milk",Mix turmeric in warm milk,1/2 cup before bed,May cause acid reflux,"GERD, Gallstones"
Chickenpox,Children,Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1/2 cup, 2-3 times daily",May cause electrolyte imbalance,Kidney Issues
Chickenpox,Children,Non-Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/4 cup, once daily",May cause drowsiness,Chamomile Allergy
Chickenpox,Children,Vegetarian,Aloe Vera Gel,Fresh aloe vera gel,Apply aloe vera gel directly to rashes,Apply 2-3 times daily,May cause skin irritation,Aloe Allergy
Chickenpox,Children,Non-Vegetarian,Basil Paste,"Basil leaves, water","Crush basil leaves with water, apply on skin",Apply 1-2 times daily,May cause mild skin irritation,None
Chickenpox,Children,Vegetarian,Honey Coconut Mix,"Honey, coconut water",Mix honey with coconut water,"1/2 cup, 2-3 times daily",High sugar content,Diabetes
Chickenpox,Children,Non-Vegetarian,Rice Water Bath,Rice water,Use rice water as a bath for soothing skin,Bathe once daily,May cause dryness,None
Chickenpox,Adults,Vegetarian,Neem Bath,"Neem leaves, water","Boil neem leaves in water, cool, use for bathing",Bathe once daily,May cause skin dryness,Allergies
Chickenpox,Adults,Non-Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1 cup, twice daily",Citrus sensitivity,Diabetes
Chickenpox,Adults,Vegetarian,Oatmeal Paste,"Oats, water","Grind oats, mix with water, apply to rashes","Apply for 15 mins, rinse off",May cause skin irritation,Oat Allergy
Chickenpox,Adults,Non-Vegetarian,Turmeric Honey Mix,"Turmeric powder, honey",Mix turmeric with honey,"1 tsp, twice daily",High sugar content,Diabetes
Chickenpox,Adults,Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1 cup, 2-3 times daily",May cause electrolyte imbalance,Kidney Issues
Chickenpox,Adults,Non-Vegetarian,Aloe Vera Gel,Fresh aloe vera gel,Apply aloe vera gel directly to rashes,Apply 2-3 times daily,May cause skin irritation,Aloe Allergy
Chickenpox,Adults,Vegetarian,Papaya Paste,"Fresh papaya, water","Mash papaya, apply directly to the skin",Apply once daily,May cause mild irritation,Papaya Allergy
Chickenpox,Adults,Non-Vegetarian,Coconut Oil Balm,Coconut oil,Apply coconut oil directly to skin,Apply 2 times daily,May cause skin irritation,None
Chickenpox,Adults,Vegetarian,Turmeric Coconut Mix,"Turmeric powder, coconut water",Mix turmeric powder in coconut water,"1/2 cup, 2 times daily",May cause acid reflux,GERD
Chickenpox,Adults,Non-Vegetarian,Basil Ginger Drink,"Basil leaves, ginger, water","Boil basil leaves and ginger in water, strain","1 cup, twice daily",May cause acid reflux,GERD
Chickenpox,Seniors,Vegetarian,Neem Bath,"Neem leaves, water","Boil neem leaves in water, cool, use for bathing",Bathe once daily,May cause skin dryness,Allergies
Chickenpox,Seniors,Non-Vegetarian,Turmeric Milk,"Turmeric powder, milk",Mix turmeric in warm milk,1 cup before bed,May cause acid reflux,"GERD, Gallstones"
Chickenpox,Seniors,Vegetarian,Aloe Vera Gel,Fresh aloe vera gel,Apply aloe vera gel directly to rashes,Apply 2-3 times daily,May cause skin irritation,Aloe Allergy
Chickenpox,Seniors,Non-Vegetarian,Honey Ginger Drink,"Ginger, honey, warm water",Mix ginger juice with honey in warm water,"1 cup, twice daily",May cause mild heartburn,"GERD, Diabetes"
Chickenpox,Seniors,Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1 cup, 2-3 times daily",May cause electrolyte imbalance,Kidney Issues
Chickenpox,Seniors,Non-Vegetarian,Basil Water Bath,"Basil leaves, water","Boil basil leaves in water, use for bathing",Bathe once daily,May cause mild irritation,None
Chickenpox,Seniors,Vegetarian,Peppermint Oil Spray,"Peppermint oil, water","Mix peppermint oil with water, spray on skin lightly",Apply 1-2 times daily,May cause skin sensitivity,Peppermint Allergy
Chickenpox,Seniors,Non-Vegetarian,Honey Basil Drink,"Honey, basil leaves, warm water",Mix honey and basil leaves in warm water,"1 cup, twice daily",High sugar content,Diabetes
Chickenpox,Seniors,Vegetarian,Oatmeal Paste,"Oats, water","Grind oats, mix with water, apply to rashes","Apply for 15 mins, rinse off",May cause skin irritation,Oat Allergy
Chickenpox,Seniors,Non-Vegetarian,Cucumber Aloe Mask,"Cucumber, aloe vera gel","Blend cucumber with aloe vera gel, apply on skin",Apply once daily,May cause skin irritation,Cucumber Allergy
Food Poisoning,Children,Vegetarian,Ginger Honey Drink,"Fresh ginger, honey, water","Boil ginger in water, cool, add honey","1/4 cup, 2-3 times daily",May cause heartburn,"GERD, Diabetes"
Food Poisoning,Children,Non-Vegetarian,Rice Water,"Rice, water","Boil rice, strain water, cool","1/2 cup, twice daily",High starch content,Diabetes
Food Poisoning,Children,Vegetarian,Lemon Water,"Lemon, water, honey (optional)","Mix lemon juice in water, add honey","1/2 cup, twice daily",Citrus sensitivity,GERD
Food Poisoning,Children,Non-Vegetarian,Chicken Broth,"Chicken, water, salt","Boil chicken in water, strain broth","1/2 cup, twice daily",High sodium,Hypertension
Food Poisoning,Children,Vegetarian,Yogurt and Turmeric,"Yogurt, turmeric powder",Mix turmeric in yogurt,"2 tbsp, once daily",May upset stomach,Lactose intolerance
Food Poisoning,Children,Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1/2 cup, 2-3 times daily",May cause electrolyte imbalance,Kidney Issues
Food Poisoning,Children,Non-Vegetarian,Boiled Carrot Soup,"Carrots, water, salt","Boil carrots in water, blend and serve","1/2 cup, twice daily",May cause bloating,None
Food Poisoning,Children,Vegetarian,Apple Sauce,"Apples, water","Boil apples with water, mash to make sauce","2 tbsp, twice daily",May cause mild acidity,None
Food Poisoning,Children,Non-Vegetarian,Chicken Rice Porridge,"Chicken, rice, water, salt","Boil chicken and rice in water, mash lightly","1/4 cup, twice daily",High starch and sodium content,"Hypertension, Diabetes"
Food Poisoning,Children,Vegetarian,Mint Water,"Fresh mint leaves, water","Boil mint leaves in water, strain","1/4 cup, twice daily",May cause acid reflux,GERD
Food Poisoning,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, add honey","1 cup, 2-3 times daily",May cause heartburn,"GERD, Diabetes"
Food Poisoning,Adults,Non-Vegetarian,Chicken Soup,"Chicken, vegetables, water","Boil chicken with vegetables, strain","1 cup, twice daily",High sodium,Hypertension
Food Poisoning,Adults,Vegetarian,Lemon Honey Water,"Lemon, honey, warm water",Mix lemon and honey in warm water,"1 cup, twice daily",May affect teeth enamel,"Diabetes, GERD"
Food Poisoning,Adults,Non-Vegetarian,Fish Broth,"Fish, water, herbs","Boil fish with herbs, strain broth","1/2 cup, twice daily",May cause fishy taste,Seafood allergy
Food Poisoning,Adults,Vegetarian,Banana and Yogurt,"Banana, yogurt","Mash banana, mix with yogurt","1 serving, twice daily",May increase sugar levels,Diabetes
Food Poisoning,Adults,Vegetarian,Cumin Tea,"Cumin seeds, water","Boil cumin seeds in water, strain","1 cup, twice daily",May cause bloating,"GERD, IBS"
Food Poisoning,Adults,Non-Vegetarian,Miso Soup,"Miso paste, water, tofu","Dissolve miso paste in warm water, add tofu if needed","1 cup, once daily",High sodium content,Hypertension
Food Poisoning,Adults,Vegetarian,Papaya Smoothie,"Papaya, yogurt",Blend papaya with yogurt,"1 cup, once daily",May cause mild acidity,Lactose Intolerance
Food Poisoning,Adults,Non-Vegetarian,Bone Broth,"Bones (chicken/beef), water","Simmer bones for hours, strain","1/2 cup, once daily",High collagen content,Kidney Disorders
Food Poisoning,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1 cup, once daily",May cause drowsiness,Chamomile Allergy
Food Poisoning,Seniors,Vegetarian,Cumin Water,"Cumin seeds, water","Boil cumin seeds in water, cool","1/2 cup, twice daily",May cause bloating,"GERD, IBS"
Food Poisoning,Seniors,Non-Vegetarian,Chicken Broth,"Chicken, water, salt","Boil chicken, strain broth","1/2 cup, twice daily",High sodium,Hypertension
Food Poisoning,Seniors,Vegetarian,Mint Tea,"Fresh mint leaves, water","Boil mint leaves in water, strain","1/2 cup, twice daily",May cause acid reflux,GERD
Food Poisoning,Seniors,Non-Vegetarian,Bone Broth,"Bones (chicken/beef), water","Simmer bones for hours, strain","1/2 cup, once daily",High collagen content,Kidney disorders
Food Poisoning,Seniors,Vegetarian,Aloe Vera Juice,"Aloe vera gel, water",Blend aloe vera gel with water,"1/2 cup, once daily",May act as a laxative,Kidney disorders
Food Poisoning,Seniors,Vegetarian,Fenugreek Water,"Fenugreek seeds, water","Soak seeds overnight, strain and drink","1/2 cup, once daily",May cause mild bitterness,None
Food Poisoning,Seniors,Non-Vegetarian,Fish Soup,"Fish, ginger, water, salt","Boil fish and ginger in water, strain","1/2 cup, once daily",May cause fishy taste,Seafood allergy
Food Poisoning,Seniors,Vegetarian,Pomegranate Juice,"Pomegranate seeds, water","Blend seeds with water, strain","1/2 cup, once daily",High sugar content,Diabetes
Food Poisoning,Seniors,Non-Vegetarian,Egg Drop Soup,"Egg, water, salt","Beat egg, pour slowly into boiling water, add salt","1/2 cup, once daily",May cause egg allergy,Egg Allergy
Food Poisoning,Seniors,Vegetarian,Turmeric and Honey Mix,"Turmeric powder, honey",Mix turmeric powder with honey,"1 tsp, once daily",High sugar content,Diabetes
Kidney Stones,Children,Vegetarian,Lemon Water,"Lemon, warm water",Mix lemon juice in warm water,"1/2 cup, 2 times daily",Citrus sensitivity,GERD
Kidney Stones,Children,Non-Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1/2 cup, 2-3 times daily",May cause electrolyte imbalance,Kidney dysfunction
Kidney Stones,Children,Vegetarian,Pomegranate Juice,Fresh pomegranate,"Blend pomegranate, strain","1/2 cup, twice daily",May cause mild digestive discomfort,None
Kidney Stones,Children,Non-Vegetarian,Cucumber Juice,Fresh cucumber,"Blend cucumber, strain","1/2 cup, twice daily",May cause frequent urination,Kidney issues
Kidney Stones,Children,Vegetarian,Basil Water,"Fresh basil leaves, water","Steep basil leaves in hot water, cool","1/4 cup, twice daily",May lower blood sugar,Low blood pressure
Kidney Stones,Children,Vegetarian,Apple Cider Vinegar,"Apple cider vinegar, water",Mix 1 tsp vinegar with warm water,"1/4 cup, once daily",Acidity,GERD
Kidney Stones,Children,Vegetarian,Carrot Juice,Fresh carrot,"Blend carrot, strain","1/2 cup, once daily",High in beta-carotene,None
Kidney Stones,Children,Non-Vegetarian,Milk with Turmeric,"Milk, turmeric powder","Warm milk, mix turmeric","1/2 cup, once daily",May cause nausea,Lactose intolerance
Kidney Stones,Children,Vegetarian,Gooseberry (Amla) Juice,"Fresh gooseberry, water","Blend amla with water, strain","1/4 cup, once daily",High in vitamin C,GERD
Kidney Stones,Children,Vegetarian,Radish Juice,Fresh radish,"Blend radish, strain","1/4 cup, once daily",Strong taste,GERD
Kidney Stones,Adults,Vegetarian,Lemon Juice and Water,"Lemon juice, warm water",Mix lemon juice in warm water,"1 cup, 2-3 times daily",Citrus sensitivity,GERD
Kidney Stones,Adults,Non-Vegetarian,Watermelon Juice,Fresh watermelon,"Blend watermelon, strain","1 cup, twice daily",May cause frequent urination,Kidney dysfunction
Kidney Stones,Adults,Vegetarian,Celery Water,"Celery seeds, water","Boil celery seeds in water, strain","1/2 cup, once daily",May interact with medications,Diuretics
Kidney Stones,Adults,Non-Vegetarian,Basil Water,"Fresh basil leaves, water","Steep basil leaves in hot water, cool","1 cup, twice daily",May lower blood sugar,Low blood pressure
Kidney Stones,Adults,Vegetarian,Pomegranate Juice,Fresh pomegranate,"Blend pomegranate, strain","1 cup, once daily",May cause mild digestive discomfort,None
Kidney Stones,Adults,Vegetarian,Dandelion Root Tea,"Dandelion root, water","Boil dandelion root, strain","1 cup, once daily",May interact with diuretics,Kidney issues
Kidney Stones,Adults,Vegetarian,Nettle Leaf Tea,"Nettle leaves, water","Steep nettle leaves in hot water, strain","1 cup, once daily",May cause mild stomach upset,"Pregnancy, Kidney issues"
Kidney Stones,Adults,Non-Vegetarian,Cranberry Juice,"Fresh cranberries, water","Blend cranberries with water, strain","1 cup, twice daily",High acidity,GERD
Kidney Stones,Adults,Vegetarian,Parsley Juice,"Fresh parsley, water","Blend parsley with water, strain","1/2 cup, once daily",May interact with blood thinners,Low blood pressure
Kidney Stones,Adults,Non-Vegetarian,Ginger Lemon Tea,"Fresh ginger, lemon, water","Boil ginger, add lemon, strain","1 cup, once daily",May cause acid reflux,GERD
Kidney Stones,Seniors,Vegetarian,Warm Lemon Water,"Lemon juice, warm water",Mix lemon juice in warm water,"1/2 cup, twice daily",Citrus sensitivity,"GERD, Citrus Allergy"
Kidney Stones,Seniors,Non-Vegetarian,Coconut Water,Fresh coconut water,Serve chilled,"1/2 cup, 2 times daily",May cause electrolyte imbalance,Kidney dysfunction
Kidney Stones,Seniors,Vegetarian,Celery Seed Water,"Celery seeds, water","Boil celery seeds in water, strain","1/2 cup, once daily",May interact with medications,Diuretics
Kidney Stones,Seniors,Non-Vegetarian,Basil Water,"Fresh basil leaves, water","Steep basil leaves in hot water, cool","1 cup, twice daily",May lower blood sugar,Low blood pressure
Kidney Stones,Seniors,Vegetarian,Watermelon Juice,Fresh watermelon,"Blend watermelon, strain","1 cup, 2 times daily",May cause frequent urination,Kidney dysfunction
Kidney Stones,Seniors,Vegetarian,Dandelion Tea,"Dandelion root, water","Boil dandelion root, strain","1 cup, once daily",May cause mild digestive discomfort,Diuretics
Kidney Stones,Seniors,Vegetarian,Cucumber Mint Juice,"Cucumber, fresh mint leaves","Blend cucumber and mint, strain","1/2 cup, twice daily",May cause frequent urination,Kidney dysfunction
Kidney Stones,Seniors,Vegetarian,Hibiscus Tea,"Hibiscus flowers, water","Steep hibiscus flowers in hot water, strain","1 cup, once daily",May cause blood pressure drop,Low blood pressure
Kidney Stones,Seniors,Vegetarian,Apple Cider Vinegar Water,"Apple cider vinegar, warm water",Mix 1 tsp vinegar in warm water,"1/4 cup, once daily",Acidity,GERD
Kidney Stones,Seniors,Non-Vegetarian,Bone Broth,"Bone (beef/chicken), water","Simmer bones for hours, strain","1/2 cup, once daily",High collagen content,Kidney dysfunction
Kidney Stones,Seniors,Vegetarian,Radish Juice,Fresh radish,"Blend radish, strain","1/4 cup, once daily",Strong taste,GERD
toothache,Children,Non-Vegetarian,Salt Water Rinse,"Salt, warm water",Mix salt in warm water,"Rinse mouth, 2-3 times daily",May irritate if used excessively,None
Toothache,Children,Non-Vegetarian,Salt Water Rinse,"Salt, warm water",Mix salt in warm water,"Rinse mouth, 2-3 times daily",May irritate if used excessively,None
Toothache,Children,Vegetarian,Peppermint Tea Bag,"Peppermint tea bag, hot water","Steep tea bag in hot water, let cool, apply","Apply to affected area, as needed",May cause mild tingling,Peppermint Allergy
Toothache,Children,Non-Vegetarian,Garlic Paste,"Garlic clove, salt","Crush garlic with salt, apply to tooth","Apply to affected area, once daily",Strong odor,GERD
Toothache,Children,Vegetarian,Cold Compress,Ice pack or cold cloth,Apply ice pack wrapped in cloth to cheek,"Apply for 15 mins, as needed",May cause skin numbness,Sensitive skin
Toothache,Children,Vegetarian,Clove Powder Paste,"Clove powder, water","Mix clove powder with water, apply to tooth","Apply to affected area, as needed","Strong taste, may cause numbness",Clove Allergy
Toothache,Children,Vegetarian,Vanilla Extract,"Vanilla extract, cotton ball","Soak cotton ball in vanilla extract, apply","Apply to affected area, as needed",Alcohol content,Sensitive gums
Toothache,Children,Non-Vegetarian,Onion Slice,Fresh onion slice,Place onion slice on affected tooth,"Hold for 5 mins, as needed",Strong odor,GERD
Toothache,Children,Vegetarian,Ginger Chew,Fresh ginger,Chew a small piece of ginger,"Chew for a few mins, as needed",Spicy taste,GERD
Toothache,Children,Vegetarian,Warm Salted Milk Rinse,"Warm milk, salt","Mix salt in warm milk, rinse mouth","Rinse mouth, once daily",May irritate if used excessively,Lactose intolerance
Toothache,Children,Non-Vegetarian,Olive Oil Swish,Olive oil,Swish a small amount of olive oil,"Swish for 5 mins, once daily",Greasy feel,None
Toothache,Adults,Vegetarian,Clove Oil Application,"Clove oil, cotton ball","Soak cotton ball in clove oil, apply to tooth","Apply to affected area, twice daily","Strong taste, may cause numbness",Clove Allergy
Toothache,Adults,Non-Vegetarian,Salt Water Rinse,"Salt, warm water",Mix salt in warm water,"Rinse mouth, 3 times daily",May irritate if used excessively,High blood pressure
Toothache,Adults,Vegetarian,Peppermint Oil Rub,"Peppermint oil, carrier oil","Dilute peppermint oil with carrier oil, apply","Rub on affected area, twice daily",May cause skin irritation,Peppermint Allergy
Toothache,Adults,Non-Vegetarian,Garlic and Honey Mix,"Garlic clove, honey","Crush garlic, mix with honey, apply to tooth","Apply to affected area, once daily","Strong odor, may cause burning","GERD, Diabetes"
Toothache,Adults,Vegetarian,Guava Leaf Chew,Fresh guava leaves,Chew fresh guava leaves,"Chew for 5 mins, twice daily",May cause mild bitterness,Allergies
Toothache,Adults,Vegetarian,Thyme Oil Application,"Thyme oil, cotton ball","Soak cotton ball in thyme oil, apply","Apply to affected area, twice daily",May cause skin irritation,Thyme Allergy
Toothache,Adults,Non-Vegetarian,Wheatgrass Juice Rinse,Wheatgrass juice,Rinse mouth with wheatgrass juice,"Rinse for 5 mins, once daily",May cause nausea,None
Toothache,Adults,Vegetarian,Apple Cider Vinegar Rinse,"Apple cider vinegar, water","Mix vinegar with water, rinse mouth","Rinse for 2 mins, once daily","Acidity, may erode enamel",GERD
Toothache,Adults,Non-Vegetarian,Turmeric Paste,"Turmeric powder, water","Mix turmeric powder with water, apply to tooth","Apply to affected area, once daily",May stain teeth,None
Toothache,Adults,Vegetarian,Aloe Vera Gel,Aloe vera leaf,"Extract gel from leaf, apply to tooth",Apply as needed,Mild laxative effect if swallowed,Aloe Allergy
Toothache,Seniors,Vegetarian,Clove Oil Application,"Clove oil, cotton ball","Soak cotton ball in clove oil, apply to tooth","Apply to affected area, twice daily","Strong taste, may cause numbness",Clove Allergy
Toothache,Seniors,Non-Vegetarian,Salt Water Rinse,"Salt, warm water",Mix salt in warm water,"Rinse mouth, 2 times daily",May irritate if used excessively,High blood pressure
Toothache,Seniors,Vegetarian,Turmeric Paste,"Turmeric powder, water","Mix turmeric powder with water, apply to tooth","Apply to affected area, once daily",May stain teeth,None
Toothache,Seniors,Non-Vegetarian,Garlic Paste,"Garlic clove, salt","Crush garlic with salt, apply to tooth","Apply to affected area, once daily",Strong odor,GERD
Toothache,Seniors,Vegetarian,Cold Compress,Ice pack or cold cloth,Apply ice pack wrapped in cloth to cheek,"Apply for 15 mins, as needed",May cause skin numbness,Sensitive skin
Toothache,Seniors,Vegetarian,Clove Tea Rinse,"Clove, water","Boil clove in water, cool, use as mouth rinse",Rinse once daily,"Strong taste, may cause numbness",Clove Allergy
Toothache,Seniors,Non-Vegetarian,Onion Slice,Fresh onion slice,Place onion slice on affected tooth,"Hold for 5 mins, as needed",Strong odor,GERD
Toothache,Seniors,Vegetarian,Black Tea Bag Compress,"Black tea bag, hot water","Steep tea bag in hot water, let cool, apply","Apply to affected area, as needed",Mild tingling,Tea Allergy
Toothache,Seniors,Non-Vegetarian,Sesame Oil Pulling,Sesame oil,Swish sesame oil in mouth,"Swish for 5 mins, once daily",Greasy feel,None
Toothache,Seniors,Vegetarian,Ginger Powder Paste,"Ginger powder, water","Mix ginger powder with water, apply to tooth",Apply as needed,Spicy taste,GERD
Tuberculosis,Children,Non-Vegetarian,Chicken Broth,"Chicken, water, salt","Boil chicken in water, strain broth","1/2 cup, twice daily",High sodium content,High Blood Pressure
Tuberculosis,Children,Vegetarian,Basil Water,"Fresh basil leaves, water","Steep basil leaves in warm water, cool","1/2 cup, twice daily",May lower blood sugar,Low Blood Pressure
Tuberculosis,Children,Vegetarian,Ginger Honey Mix,"Ginger juice, honey",Mix ginger juice with honey,"1 tsp, twice daily",May cause mild heartburn,GERD
Tuberculosis,Children,Non-Vegetarian,Bone Broth,"Bones (chicken/beef), water","Simmer bones for several hours, strain","1/2 cup, once daily",High collagen content,Kidney Disorders
Tuberculosis,Children,Vegetarian,Mint Tea,"Fresh mint leaves, water","Boil mint leaves in water, strain","1 cup, twice daily",Cooling effect,None
Tuberculosis,Children,Vegetarian,Turmeric Water,"Turmeric powder, water",Mix turmeric in warm water,"1/2 cup, twice daily",May stain teeth,None
Tuberculosis,Children,Non-Vegetarian,Fish Soup,"Fish, water, herbs","Boil fish with herbs, strain","1/2 cup, once daily",High protein content,Seafood Allergy
Tuberculosis,Children,Vegetarian,Lemon Water,"Lemon juice, warm water",Mix lemon juice in warm water,"1/2 cup, once daily","Acidic, may erode enamel",GERD
Tuberculosis,Children,Vegetarian,Carrot Juice,Fresh carrots,"Blend carrots, strain for juice","1/2 cup, once daily",May cause mild gas,None
Tuberculosis,Children,Non-Vegetarian,Liver Broth,"Liver (chicken), water","Boil liver in water, strain","1/2 cup, twice weekly",High in iron,Liver Conditions
Tuberculosis,Adults,Vegetarian,Garlic Milk,"Garlic cloves, milk",Boil crushed garlic in milk,"1 cup, once daily","Strong odor, may upset stomach","GERD, Lactose Intolerance"
Tuberculosis,Adults,Non-Vegetarian,Bone Broth,"Bones (chicken/beef), water","Simmer bones for several hours, strain","1 cup, twice daily",High collagen content,Kidney Disorders
Tuberculosis,Adults,Vegetarian,Turmeric Tea,"Turmeric powder, black pepper, water","Boil turmeric with black pepper in water, strain","1 cup, twice daily",May cause acid reflux,GERD
Tuberculosis,Adults,Non-Vegetarian,Egg Yolk Drink,"Egg yolk, warm milk",Whisk egg yolk into warm milk,"1 cup, once daily",High cholesterol,High Cholesterol
Tuberculosis,Adults,Vegetarian,Ginger Tea,"Ginger root, water","Boil ginger in water, strain","1 cup, 2-3 times daily",May cause mild heartburn,"GERD, Heart Disease"
Tuberculosis,Adults,Vegetarian,Beetroot Juice,Fresh beetroot,"Blend beetroot, strain for juice","1/2 cup, once daily",High in oxalates,Kidney Stones
Tuberculosis,Adults,Non-Vegetarian,Lamb Soup,"Lamb, water, herbs","Boil lamb with herbs, strain","1 cup, once daily",High fat content,High Cholesterol
Tuberculosis,Adults,Vegetarian,Cinnamon Honey Drink,"Cinnamon powder, honey, water",Mix cinnamon in warm water with honey,"1/2 cup, once daily",May cause allergic reactions,Cinnamon Allergy
Tuberculosis,Adults,Vegetarian,Spinach Juice,Fresh spinach,"Blend spinach, strain for juice","1/2 cup, once daily",High oxalate content,Kidney Stones
Tuberculosis,Adults,Non-Vegetarian,Fish Oil Supplement,Fish oil,Take as per package instructions,Once daily,Fishy aftertaste,Seafood Allergy
Tuberculosis,Seniors,Vegetarian,Garlic Honey Mix,"Garlic cloves, honey",Crush garlic and mix with honey,"1 tsp, twice daily","Strong smell, may cause stomach upset","GERD, Stomach Ulcers"
Tuberculosis,Seniors,Non-Vegetarian,Chicken Broth,"Chicken, water, salt","Boil chicken in water, strain broth","1 cup, twice daily",High sodium content,High Blood Pressure
Tuberculosis,Seniors,Vegetarian,Turmeric Milk,"Turmeric powder, milk",Mix turmeric in warm milk,1 cup before bed,May cause acid reflux,"Gallstones, GERD"
Tuberculosis,Seniors,Non-Vegetarian,Egg Yolk Drink,"Egg yolk, warm milk",Whisk egg yolk into warm milk,"1 cup, once daily",High cholesterol,High Cholesterol
Tuberculosis,Seniors,Vegetarian,Basil Water,"Fresh basil leaves, water","Steep basil leaves in warm water, cool","1 cup, twice daily",May lower blood sugar,Low Blood Pressure
Tuberculosis,Seniors,Vegetarian,Fenugreek Water,"Fenugreek seeds, water","Soak fenugreek seeds overnight, drink water","1/2 cup, once daily",May lower blood sugar,Low Blood Pressure
Tuberculosis,Seniors,Non-Vegetarian,Beef Broth,"Beef, water","Boil beef in water, strain broth","1 cup, twice daily",High sodium,High Blood Pressure
Tuberculosis,Seniors,Vegetarian,Amla Juice,Fresh amla (Indian gooseberry),Blend and strain amla for juice,"1/4 cup, once daily",Sour taste,GERD
